"n","method","seconds","memory_gb","h2","iterations","solves","cg_iterations"
1000,"sketch_lazy",10.0599999999999,0.0372529029846191,0.267907560492056,4,180,1160
1000,"form_G",2.82000000000016,0.00745058059692383,NA,NA,NA,NA
1000,"sketch_dense",1.23999999999978,0.00745058059692383,0.279431848420794,5,224,1355
1000,"exact",1.57999999999993,0.0298023223876953,0.271692063524017,6,NA,NA
1000,"eigen",0.710000000000036,0.0149011611938477,NA,NA,NA,NA
2000,"sketch_lazy",20.8899999999999,0.0745058059692383,0.536809649696807,3,136,1222
2000,"form_G",11.8299999999999,0.0298023223876953,NA,NA,NA,NA
2000,"sketch_dense",4.19000000000005,0.0298023223876953,0.545169084847012,3,136,1251
2000,"exact",12.0300000000002,0.119209289550781,0.539006655217129,5,NA,NA
2000,"eigen",6.04999999999973,0.0596046447753906,NA,NA,NA,NA
4000,"sketch_lazy",48.8099999999999,0.149011611938477,0.488653590713569,3,136,1372
4000,"form_G",48.2800000000002,0.119209289550781,NA,NA,NA,NA
4000,"sketch_dense",17.79,0.119209289550781,0.495974130793399,3,136,1385
4000,"exact",114.86,0.476837158203125,0.495993761266649,5,NA,NA
4000,"eigen",49.1799999999998,0.238418579101562,NA,NA,NA,NA
8000,"sketch_lazy",96.1300000000001,0.298023223876953,0.502656999414625,3,136,1315
8000,"form_G",192.98,0.476837158203125,NA,NA,NA,NA
8000,"sketch_dense",69.5,0.476837158203125,0.505097924387853,3,136,1342
8000,"exact",848.1,1.9073486328125,0.502471879254025,4,NA,NA
16000,"sketch_lazy",251.87,0.596046447753906,0.512995179787874,3,136,1735
